Zone,State,City,Name,Type,Google review rating,Best Time to visit,time needed to visit in hrs,Airport with 50km Radius,Category,Category_ID
Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,4.7,Anytime,1.0,Yes,Religious,2
Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,4.5,Anytime,2.0,Yes,Nature,0
Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,4.6,Anytime,1.0,Yes,Historical,1
Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,4.5,Afternoon,2.0,No,Nature,0
Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,4.6,Anytime,1.0,Yes,Historical,1
Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,4.1,Afternoon,2.0,Yes,Urban,4
Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,3.8,Anytime,1.0,Yes,Urban,4
Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,4.3,Anytime,1.0,Yes,Historical,1
Eastern,Sikkim,Gangtok,Nathula Pass,Hill,4.3,Afternoon,2.0,Yes,Nature,0
Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,4.6,Morning,1.0,No,Religious,2
Eastern,Sikkim,Namchi,Char Dham,Religious Complex,4.7,Anytime,2.0,Yes,Religious,2
Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,4.6,Morning,1.0,Yes,Religious,2
Eastern,Sikkim,Ravangla,Buddha Park,Park,4.8,Anytime,1.0,Yes,Nature,0
Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,4.7,Anytime,1.0,Yes,Religious,2
Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,4.5,Morning,2.0,Yes,Nature,0
North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,4.6,Anytime,2.0,Yes,Religious,2
North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,4.5,Morning,3.0,No,Nature,0
North Eastern,Assam,Guwahati,Umananda Island,Island,4.1,Morning,1.0,Yes,Nature,0
North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,4.7,Anytime,1.0,No,Religious,2
North Eastern,Assam,Majuli,Majuli Island,River Island,4.7,Morning,2.0,No,Nature,0
North Eastern,Assam,Manas,Manas National Park,National Park,4.6,Morning,3.0,No,Nature,0
North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,4.5,Anytime,1.0,No,Religious,2
North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,4.4,Anytime,2.0,Yes,Nature,0
North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,4.7,Morning,2.0,No,Religious,2
North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,4.5,Anytime,1.5,Yes,Historical,1
North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,4.5,Morning,1.0,No,Nature,0
North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,4.5,Morning,1.5,No,Historical,1
Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,4.6,Morning,1.5,No,Nature,0
North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,4.7,Afternoon,3.0,No,Nature,0
Southern,Puducherry,Puducherry,Promenade Beach,Beach,4.5,Morning,1.0,Yes,Nature,0
Southern,Puducherry,Auroville,Auroville,Township,4.1,Anytime,2.0,Yes,Urban,4
Southern,Puducherry,Puducherry,Paradise Beach,Beach,4.5,Morning,1.0,Yes,Nature,0
Southern,Andaman And Nicobar Islands,Port Blair,Cellular Jail,Landmark,4.7,Afternoon,1.5,Yes,Historical,1
Southern,Andaman And Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,4.8,Morning,1.0,No,Nature,0
Southern,Andaman And Nicobar Islands,Neil Island,Bharatpur Beach,Beach,4.5,Morning,1.0,No,Nature,0
Southern,Andaman And Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,4.4,Morning,1.5,No,Nature,0
Western,Daman And Diu,Diu,Naida Caves,Cave,4.5,Afternoon,1.0,No,Nature,0
Western,Daman And Diu,Diu,Diu Fort,Fort,4.6,Afternoon,1.5,No,Historical,1
Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,4.7,Anytime,1.0,Yes,Religious,2
Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,4.6,Anytime,1.0,Yes,Religious,2
Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,4.7,Anytime,1.5,Yes,Religious,2
Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,4.3,Anytime,2.5,Yes,Urban,4
Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,4.7,Anytime,1.0,Yes,Religious,2
Eastern,Bihar,Patna,Budhha Smriti Park,Park,4.4,Anytime,1.0,Yes,Nature,0
Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,4.4,Afternoon,3.0,Yes,Urban,4
Northern,Haryana,Gurugram,Ambience Mall,Mall,4.6,Afternoon,2.0,Yes,Urban,4
Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,4.7,Afternoon,2.0,Yes,Urban,4
Northern,Delhi,Delhi,Gurudwara Bangla Sahib,Gurudwara,4.8,Anytime,1.0,Yes,Religious,2
Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,4.8,Anytime,1.5,No,Religious,2
Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,4.6,Anytime,2.0,Yes,Urban,4
Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,4.2,Anytime,2.0,Yes,Urban,4
Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,4.5,Anytime,4.0,Yes,Urban,4
Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,4.4,Afternoon,3.0,Yes,Urban,4
Southern,Karnataka,Bengaluru,Orion Mall,Mall,4.5,Anytime,2.0,Yes,Urban,4
Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,4.5,Anytime,2.0,Yes,Urban,4
Northern,Delhi,Delhi,Jama Masjid,Mosque,4.5,Anytime,1.0,Yes,Religious,2
Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,4.7,Anytime,1.5,Yes,Religious,2
Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,4.6,Anytime,2.0,Yes,Urban,4
Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,4.6,Anytime,2.0,Yes,Urban,4
Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,4.6,Anytime,3.0,Yes,Urban,4
Northern,Delhi,Delhi,Rail Museum,Museum,4.4,Morning,2.0,Yes,Historical,1
North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,4.6,Morning,2.0,No,Nature,0
Western,Gujarat,Gandhinagar,Akshardham,Temple,4.6,Anytime,3.0,Yes,Religious,2
Central,Uttar Pradesh,Agra,Agra Fort,Fort,4.5,Afternoon,2.0,Yes,Historical,1
Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,4.7,Anytime,2.0,Yes,Historical,1
Northern,Rajasthan,Jaipur,City Palace,Palace,4.4,Morning,2.0,Yes,Historical,1
Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,4.5,Anytime,2.0,Yes,Historical,1
